datetime,floor,CO2,humidity,PM1_0,PM10,PM2_5,temperature,TVOC,value
2025-06-24 23:00:00,F3,474,58.1,8,11,10,25.6,0.15,5660.8101
2025-06-25 00:00:00,F3,476,58.3,8,11,10,25.6,0.15,5660.8604
2025-06-25 01:00:00,F3,481,58.4,7,11,10,25.5,0.17,5660.9204
2025-06-25 02:00:00,F3,483,58.7,9,13,12,25.5,0.18,5660.96
2025-06-25 03:00:00,F3,486,59,13,16,16,25.4,0.19,5661.02
2025-06-25 04:00:00,F3,497,59.2,12,18,18,25.4,0.2,5661.0693
2025-06-25 05:00:00,F3,510,59.5,15,21,19,25.4,0.21,5661.1201
2025-06-25 06:00:00,F3,519,59.7,16,24,22,25.4,0.21,5661.1694
2025-06-25 07:00:00,F3,507,59.9,16,26,25,25.5,0.21,5661.2197
2025-06-25 08:00:00,F3,512,59.4,12,16,16,25.6,0.21,5661.27
2025-06-25 09:00:00,F3,553,58.7,13,16,16,25.7,0.27,5661.3198
2025-06-25 10:00:00,F3,568,57.2,9,12,12,25.8,0.21,5661.3706
2025-06-25 11:00:00,F3,617,55.9,10,13,12,25.8,0.2,5661.4199
2025-06-25 12:00:00,F3,647,55.5,11,15,14,25.8,0.2,5661.4697
2025-06-25 13:00:00,F3,646,55,12,15,15,25.9,0.2,5661.5298
2025-06-25 14:00:00,F3,652,55.2,12,16,15,25.9,0.21,5661.7207
2025-06-25 15:00:00,F3,665,55.1,12,16,15,25.9,0.21,5661.77
2025-06-25 16:00:00,F3,645,55.3,15,20,20,26,0.21,5661.8198
2025-06-25 17:00:00,F3,659,55.1,18,28,27,26.1,0.22,5661.8804
2025-06-25 18:00:00,F3,636,56.4,19,28,28,26.1,0.22,5661.9297
2025-06-25 19:00:00,F3,591,56.9,19,26,25,26.2,0.2,5661.98
2025-06-25 20:00:00,F3,560,57.8,20,28,28,26.1,0.17,5662.0293
2025-06-25 21:00:00,F3,546,58.3,19,28,27,26.1,0.17,5662.0801
2025-06-25 22:00:00,F3,536,58.6,19,29,28,26,0.17,5662.1304
2025-06-25 23:00:00,F3,452,59.5,20,28,27,26.1,0.19,5662.1895
2025-06-26 00:00:00,F3,520,59.1,21,34,32,26,0.15,5662.2397
2025-06-26 01:00:00,F3,516,59.6,22,33,31,26,0.15,5662.29
2025-06-26 02:00:00,F3,516,59.9,23,37,33,26,0.15,5662.3403
2025-06-26 03:00:00,F3,504,60.3,24,42,36,26,0.15,5662.3896
2025-06-26 04:00:00,F3,505,60.8,24,43,37,26,0.15,5662.4395
2025-06-26 05:00:00,F3,496,61.1,23,42,35,26,0.15,5662.5
2025-06-26 06:00:00,F3,502,61.3,22,39,35,26,0.15,5662.5405
2025-06-26 07:00:00,F3,486,61.2,19,33,31,26,0.17,5662.5894
2025-06-26 08:00:00,F3,515,60.9,17,26,25,26,0.17,5662.6494
2025-06-26 09:00:00,F3,560,59.7,10,14,14,26,0.17,5662.7002
2025-06-26 10:00:00,F3,634,58.6,10,15,14,25.9,0.18,5662.75
2025-06-26 11:00:00,F3,673,57.4,9,13,13,26,0.18,5662.8101
2025-06-26 12:00:00,F3,671,56.9,9,14,13,26,0.19,5662.8696
2025-06-26 13:00:00,F3,652,56.8,9,13,13,26.1,0.28,5662.9199
2025-06-26 14:00:00,F3,659,56.9,13,17,17,26.1,0.28,5662.9697
2025-06-26 15:00:00,F3,661,57,14,22,21,26.2,0.25,5663.0298
2025-06-26 16:00:00,F3,663,56.9,14,19,19,26.2,0.22,5663.0796
2025-06-26 17:00:00,F3,654,57.5,14,19,19,26.2,0.21,5663.1294
2025-06-26 18:00:00,F3,636,57.6,12,16,16,26.2,0.2,5663.1802
2025-06-26 19:00:00,F3,582,57.9,13,17,17,26.2,0.18,5663.2295
2025-06-26 20:00:00,F3,560,58.3,11,14,14,26.2,0.17,5663.2905
2025-06-26 21:00:00,F3,538,58.6,12,16,16,26.2,0.17,5663.3398
2025-06-26 22:00:00,F3,511,59,12,18,16,26.2,0.17,5663.3896
2025-06-26 23:00:00,F3,503,59.6,13,18,18,26.2,0.17,5663.4399
2025-06-27 00:00:00,F3,494,59.9,14,20,19,26.3,0.17,5663.5005
2025-06-27 01:00:00,F3,489,60.1,14,20,20,26.4,0.17,5663.5493
2025-06-27 02:00:00,F3,487,60.1,15,22,20,26.4,0.18,5663.6001
2025-06-27 03:00:00,F3,482,60.2,15,23,21,26.4,0.2,5663.6494
2025-06-27 04:00:00,F3,473,60.3,16,22,21,26.4,0.21,5663.709
