datatime,value
2025/5/30 23:00,97163.5859
2025/5/31 0:00,97163.8672
2025/5/31 1:00,97164.0938
2025/5/31 2:00,97164.3359
2025/5/31 3:00,97164.6094
2025/5/31 4:00,97164.8828
2025/5/31 5:00,97165.1172
2025/5/31 6:00,97165.3594
2025/5/31 7:00,97169.4062
2025/5/31 8:00,97184.2344
2025/5/31 9:00,97196.8672
2025/5/31 10:00,97210.5781
2025/5/31 11:00,97223.3281
2025/5/31 12:00,97235.9688
2025/5/31 13:00,97249.4609
2025/5/31 14:00,97263.0078
2025/5/31 15:00,97275.7656
2025/5/31 16:00,97288.4766
2025/5/31 17:00,97302.0703
2025/5/31 18:00,97306.23435
2025/5/31 19:00,97310.3984
2025/5/31 20:00,97311.0234
2025/5/31 21:00,97311.6406
2025/5/31 22:00,97312.3047
2025/5/31 23:00,97312.9062
2025/6/1 0:00,97313.2734
2025/6/1 1:00,97313.4453
2025/6/1 2:00,97313.6016
2025/6/1 3:00,97313.7969
2025/6/1 4:00,97313.9844
2025/6/1 5:00,97314.1562
2025/6/1 6:00,97314.3438
2025/6/1 7:00,97319.8281
2025/6/1 8:00,97332.9609
2025/6/1 9:00,97346.7109
2025/6/1 10:00,97359.5
2025/6/1 11:00,97373.3281
2025/6/1 12:00,97386.2422
2025/6/1 13:00,97399.1016
2025/6/1 14:00,97412.875
2025/6/1 15:00,97425.7188
2025/6/1 16:00,97439.4375
2025/6/1 17:00,97453.2188
2025/6/1 18:00,97460.1719
2025/6/1 19:00,97460.3906
2025/6/1 20:00,97460.5781
2025/6/1 21:00,97460.75
2025/6/1 22:00,97460.9297
2025/6/1 23:00,97461.1016
2025/6/2 0:00,97461.3281
2025/6/2 1:00,97461.4922
2025/6/2 2:00,97461.7031
2025/6/2 3:00,97461.8672
2025/6/2 4:00,97462.0469
2025/6/2 5:00,97462.2031
2025/6/2 6:00,97462.3906
2025/6/2 7:00,97468.4766
2025/6/2 8:00,97482.5703
2025/6/2 9:00,97495.4609
2025/6/2 10:00,97509.1094
2025/6/2 11:00,97521.7656
2025/6/2 12:00,97534.4141
2025/6/2 13:00,97547.9219
2025/6/2 14:00,97560.5156
2025/6/2 15:00,97573.53905
2025/6/2 16:00,97586.5625
2025/6/2 17:00,97599.1406
2025/6/2 18:00,97606.3125
2025/6/2 19:00,97606.5703
2025/6/2 20:00,97606.8438
2025/6/2 21:00,97607.0781
2025/6/2 22:00,97607.3594
2025/6/2 23:00,97607.6172
2025/6/3 0:00,97607.8594
2025/6/3 1:00,97608.1406
2025/6/3 2:00,97608.3984
2025/6/3 3:00,97608.6406
2025/6/3 4:00,97608.8984
2025/6/3 5:00,97609.1328
2025/6/3 6:00,97609.375
2025/6/3 7:00,97616.0625
2025/6/3 8:00,97629.7734
2025/6/3 9:00,97642.5625
2025/6/3 10:00,97754.5625
2025/6/3 11:00,97754.875
2025/6/3 12:00,97755.2188
2025/6/3 13:00,97755.5625
2025/6/3 14:00,97755.8984
2025/6/3 15:00,97756.2188
2025/6/3 16:00,97764.5625
2025/6/3 17:00,97777.5
2025/6/3 18:00,97790.2344
2025/6/3 19:00,97803.8594
2025/6/3 20:00,97816.3203
2025/6/3 21:00,97828.7969
2025/6/3 22:00,97842.1562
2025/6/3 23:00,97855.6562
2025/6/4 0:00,97867.3438
2025/6/4 1:00,97881.7578
2025/6/4 2:00,97894.3125
2025/6/4 3:00,97899.5156
2025/6/4 4:00,97899.75
2025/6/4 5:00,97899.9922
2025/6/4 6:00,97900.2812
2025/6/4 7:00,97900.5391
2025/6/4 8:00,97900.7891
2025/6/4 9:00,97901.0312
2025/6/4 10:00,97901.2812
2025/6/4 11:00,97901.5469
2025/6/4 12:00,97901.8125
2025/6/4 13:00,97902.0391
2025/6/4 14:00,97902.3047
2025/6/4 15:00,97902.5703
2025/6/4 16:00,97910.3203
2025/6/4 17:00,97924.0703
2025/6/4 18:00,97936.6016
2025/6/4 19:00,97949
2025/6/4 20:00,97962.2969
2025/6/4 21:00,97974.7266
2025/6/4 22:00,97988
2025/6/4 23:00,98001.2422
2025/6/5 0:00,98013.6406
2025/6/5 1:00,98026.9141
2025/6/5 2:00,98039.3125
2025/6/5 3:00,98043.7031
2025/6/5 4:00,98043.8984
2025/6/5 5:00,98044.0703
2025/6/5 6:00,98044.2578
2025/6/5 7:00,98044.4375
2025/6/5 8:00,98044.6094
2025/6/5 9:00,98044.8125
2025/6/5 10:00,98044.9922
2025/6/5 11:00,98045.1875
2025/6/5 12:00,98045.3594
2025/6/5 13:00,98045.5469
2025/6/5 14:00,98045.6953
2025/6/5 15:00,98045.9062
2025/6/5 16:00,98054.3281
2025/6/5 17:00,98068.1953
2025/6/5 18:00,98081.2891
2025/6/5 19:00,98095.2031
2025/6/5 20:00,98108.0938
2025/6/5 21:00,98120.9688
2025/6/5 22:00,98134.6875
2025/6/5 23:00,98147.5078
2025/6/6 0:00,98160.25
2025/6/6 1:00,98174
2025/6/6 2:00,98187.6719
2025/6/6 3:00,98191.6016
2025/6/6 4:00,98191.9375
2025/6/6 5:00,98192.3047
2025/6/6 6:00,98192.6406
2025/6/6 7:00,98192.9766
2025/6/6 8:00,98193.2812
2025/6/6 9:00,98193.6094
2025/6/6 10:00,98193.9766
2025/6/6 11:00,98194.2656
2025/6/6 12:00,98194.6172
2025/6/6 13:00,98194.9375
2025/6/6 14:00,98195.2734
2025/6/6 15:00,98195.5938
2025/6/6 16:00,98205.5078
2025/6/6 17:00,98217.8984
2025/6/6 18:00,98231.0234
2025/6/6 19:00,98243.1875
2025/6/6 20:00,98255.3203
2025/6/6 21:00,98268.3672
2025/6/6 22:00,98280.5078
2025/6/6 23:00,98293.6016
2025/6/7 0:00,98305.7656
2025/6/7 1:00,98317.9688
2025/6/7 2:00,98330.1641
2025/6/7 3:00,98334.0469
2025/6/7 4:00,98334.25
2025/6/7 5:00,98334.4375
2025/6/7 6:00,98334.6094
2025/6/7 7:00,98334.8047
2025/6/7 8:00,98334.9609
2025/6/7 9:00,98335.1641
2025/6/7 10:00,98335.3438
2025/6/7 11:00,98335.5312
2025/6/7 12:00,98335.6953
2025/6/7 13:00,98335.9062
2025/6/7 14:00,98336.0625
2025/6/7 15:00,98336.2656
2025/6/7 16:00,98344.8594
2025/6/7 17:00,98359.3594
2025/6/7 18:00,98372.8281
2025/6/7 19:00,98385.5078
2025/6/7 20:00,98398.3984
2025/6/7 21:00,98411.2656
2025/6/7 22:00,98423.7891
2025/6/7 23:00,98437.2656
2025/6/8 0:00,98449.9141
2025/6/8 1:00,98462.6094
2025/6/8 2:00,98476.1562
2025/6/8 3:00,98478.6328
2025/6/8 4:00,98479.1484
2025/6/8 5:00,98479.7031
2025/6/8 6:00,98480.25
2025/6/8 7:00,98480.7656
2025/6/8 8:00,98481.3359
2025/6/8 9:00,98481.8281
2025/6/8 10:00,98482.3828
2025/6/8 11:00,98482.9609
2025/6/8 12:00,98483.4531
2025/6/8 13:00,98484.0156
2025/6/8 14:00,98484.4844
2025/6/8 15:00,98485.0703
2025/6/8 16:00,98496.125
2025/6/8 17:00,98509.7344
2025/6/8 18:00,98523.2656
2025/6/8 19:00,98535.75
2025/6/8 20:00,98549.0781
2025/6/8 21:00,98560.6719
2025/6/8 22:00,98574.9531
2025/6/8 23:00,98586.4844
2025/6/9 0:00,98599.8281
2025/6/9 1:00,98612.2656
2025/6/9 2:00,98625.5859
2025/6/9 3:00,98627.1562
2025/6/9 4:00,98627.4375
2025/6/9 5:00,98627.8047
2025/6/9 6:00,98628.1328
2025/6/9 7:00,98628.5
2025/6/9 8:00,98628.7969
2025/6/9 9:00,98629.1094
2025/6/9 10:00,98629.4219
2025/6/9 11:00,98629.7578
2025/6/9 12:00,98630.1406
2025/6/9 13:00,98630.4062
2025/6/9 14:00,98630.74215
2025/6/9 15:00,98631.0781
2025/6/9 16:00,98642.8203
2025/6/9 17:00,98656.5
2025/6/9 18:00,98670.0938
2025/6/9 19:00,98683.6562
2025/6/9 20:00,98696.3203
2025/6/9 21:00,98709
2025/6/9 22:00,98721.6406
2025/6/9 23:00,98735.1875
2025/6/10 0:00,98748.7344
2025/6/10 1:00,98762.25
2025/6/10 2:00,98774.3125
2025/6/10 3:00,98774.6484
2025/6/10 4:00,98774.9844
2025/6/10 5:00,98775.2969
2025/6/10 6:00,98775.6641
2025/6/10 7:00,98776.0078
2025/6/10 8:00,98776.3203
2025/6/10 9:00,98776.6562
2025/6/10 10:00,98776.9688
2025/6/10 11:00,98777.3359
2025/6/10 12:00,98777.6641
2025/6/10 13:00,98778.0078
2025/6/10 14:00,98778.3438
2025/6/10 15:00,98779.1094
2025/6/10 16:00,98792.9062
2025/6/10 17:00,98805.6172
2025/6/10 18:00,98819.1562
2025/6/10 19:00,98831.8672
2025/6/10 20:00,98845.375
2025/6/10 21:00,98857.8984
2025/6/10 22:00,98871.3203
2025/6/10 23:00,98883.8281
2025/6/11 0:00,98897.2266
2025/6/11 1:00,98909.7344
2025/6/11 2:00,98921.0469
2025/6/11 3:00,98921.4531
2025/6/11 4:00,98921.8672
2025/6/11 5:00,98922.25
2025/6/11 6:00,98922.6484
2025/6/11 7:00,98923.0469
2025/6/11 8:00,98923.4688
2025/6/11 9:00,98923.8906
2025/6/11 10:00,98924.2578
2025/6/11 11:00,98924.6719
2025/6/11 12:00,98925.0703
2025/6/11 13:00,98925.4688
2025/6/11 14:00,98925.8672
2025/6/11 15:00,98928.6797
2025/6/11 16:00,98942.3125
2025/6/11 17:00,98954.8047
2025/6/11 18:00,98967.2812
2025/6/11 19:00,98980.3594
2025/6/11 20:00,98992.5859
2025/6/11 21:00,99005.7188
2025/6/11 22:00,99018.0156
2025/6/11 23:00,99030.2656
2025/6/12 0:00,99043.3438
2025/6/12 1:00,99056.4453
2025/6/12 2:00,99065.6719
2025/6/12 3:00,99066
2025/6/12 4:00,99066.3438
2025/6/12 5:00,99066.6484
2025/6/12 6:00,99066.9844
2025/6/12 7:00,99067.2734
2025/6/12 8:00,99067.6172
2025/6/12 9:00,99067.9688
2025/6/12 10:00,99068.2656
2025/6/12 11:00,99068.625
2025/6/12 12:00,99068.9219
2025/6/12 13:00,99069.25
2025/6/12 14:00,99069.5781
2025/6/12 15:00,99073.9219
2025/6/12 16:00,99087.4609
2025/6/12 17:00,99100.1406
2025/6/12 18:00,99112.7344
2025/6/12 19:00,99126.2656
2025/6/12 20:00,99138.9062
2025/6/12 21:00,99152.4219
2025/6/12 22:00,99164.125
2025/6/12 23:00,99178.5
2025/6/13 0:00,99191.9922
2025/6/13 1:00,99203.6641
2025/6/13 2:00,99212.2031
2025/6/13 3:00,99212.4844
2025/6/13 4:00,99212.7344
2025/6/13 5:00,99213
2025/6/13 6:00,99213.2344
2025/6/13 7:00,99213.5078
2025/6/13 8:00,99213.7422
2025/6/13 9:00,99214
2025/6/13 10:00,99214.25
2025/6/13 11:00,99214.5
2025/6/13 12:00,99214.75
2025/6/13 13:00,99215
2025/6/13 14:00,99215.2656
2025/6/13 15:00,99221.375
2025/6/13 16:00,99234.7969
2025/6/13 17:00,99248.2109
2025/6/13 18:00,99259.8281
2025/6/13 19:00,99273.2031
2025/6/13 20:00,99287.1562
2025/6/13 21:00,99299.1562
2025/6/13 22:00,99311.5703
2025/6/13 23:00,99325.6406
2025/6/14 0:00,99338
2025/6/14 1:00,99350.1562
2025/6/14 2:00,99355.8438
2025/6/14 3:00,99356.0938
2025/6/14 4:00,99356.3672
2025/6/14 5:00,99356.625
2025/6/14 6:00,99356.8672
2025/6/14 7:00,99357.125
2025/6/14 8:00,99357.3828
2025/6/14 9:00,99357.6484
2025/6/14 10:00,99357.8984
2025/6/14 11:00,99358.1406
2025/6/14 12:00,99358.4062
2025/6/14 13:00,99358.6641
2025/6/14 14:00,99358.9141
2025/6/14 15:00,99367.7812
2025/6/14 16:00,99380.375
2025/6/14 17:00,99393.7422
2025/6/14 18:00,99407.1484
2025/6/14 19:00,99419.6719
2025/6/14 20:00,99432.0391
2025/6/14 21:00,99443.5156
2025/6/14 22:00,99458.4453
2025/6/14 23:00,99470.75
2025/6/15 0:00,99483.0156
2025/6/15 1:00,99496.1406
2025/6/15 2:00,99499.3047
2025/6/15 3:00,99499.5781
2025/6/15 4:00,99499.8281
2025/6/15 5:00,99500.1172
2025/6/15 6:00,99500.3438
2025/6/15 7:00,99500.6094
2025/6/15 8:00,99500.8672
2025/6/15 9:00,99501.1094
2025/6/15 10:00,99501.3906
2025/6/15 11:00,99501.625
2025/6/15 12:00,99501.8672
2025/6/15 13:00,99502.1562
2025/6/15 14:00,99502.3906
2025/6/15 15:00,99513.0156
2025/6/15 16:00,99526.4766
2025/6/15 17:00,99539.0234
2025/6/15 18:00,99552.5156
2025/6/15 19:00,99564.1484
2025/6/15 20:00,99578.2188
2025/6/15 21:00,99590.5391
2025/6/15 22:00,99602.8828
2025/6/15 23:00,99616.9531
2025/6/16 0:00,99629.2109
2025/6/16 1:00,99641.5625
2025/6/16 2:00,99642.9688
2025/6/16 3:00,99643.1953
2025/6/16 4:00,99643.5
2025/6/16 5:00,99643.75
2025/6/16 6:00,99644
2025/6/16 7:00,99644.25
2025/6/16 8:00,99644.4688
2025/6/16 9:00,99644.7344
2025/6/16 10:00,99645.0312
2025/6/16 11:00,99645.2812
2025/6/16 12:00,99645.5469
2025/6/16 13:00,99645.7734
2025/6/16 14:00,99646.7656
2025/6/16 15:00,99659.6094
2025/6/16 16:00,99671.9453
2025/6/16 17:00,99685.14455
2025/6/16 18:00,99698.3438
2025/6/16 19:00,99710.6406
2025/6/16 20:00,99722.9766
2025/6/16 21:00,99736.1719
2025/6/16 22:00,99749.3125
2025/6/16 23:00,99761.5781
2025/6/17 0:00,99774.6562
2025/6/17 1:00,99785.2734
2025/6/17 2:00,99785.5469
2025/6/17 3:00,99785.8125
2025/6/17 4:00,99786.0547
2025/6/17 5:00,99786.3281
2025/6/17 6:00,99786.5703
2025/6/17 7:00,99786.8125
2025/6/17 8:00,99787.0703
2025/6/17 9:00,99787.3438
2025/6/17 10:00,99787.6094
2025/6/17 11:00,99787.8594
2025/6/17 12:00,99788.0938
2025/6/17 13:00,99788.3672
2025/6/17 14:00,99791.1406
2025/6/17 15:00,99804.4688
2025/6/17 16:00,99816.8438
2025/6/17 17:00,99830.0078
2025/6/17 18:00,99843.1953
2025/6/17 19:00,99855.4609
2025/6/17 20:00,99867.6953
2025/6/17 21:00,99880.9062
2025/6/17 22:00,99893.1875
2025/6/17 23:00,99906.2578
2025/6/18 0:00,99918.5
2025/6/18 1:00,99927.5625
2025/6/18 2:00,99928.0781
2025/6/18 3:00,99928.2344
2025/6/18 4:00,99928.4219
2025/6/18 5:00,99928.5938
2025/6/18 6:00,99928.7891
2025/6/18 7:00,99928.9766
2025/6/18 8:00,99929.1406
2025/6/18 9:00,99929.3438
2025/6/18 10:00,99929.5234
2025/6/18 11:00,99929.7031
2025/6/18 12:00,99929.8828
2025/6/18 13:00,99930.0859
2025/6/18 14:00,99935.5547
2025/6/18 15:00,99949.0703
2025/6/18 16:00,99962.1875
2025/6/18 17:00,99974.4688
2025/6/18 18:00,99986.7578
2025/6/18 19:00,99999.9141
2025/6/18 20:00,100013.0547
2025/6/18 21:00,100025.3438
2025/6/18 22:00,100037.6406
2025/6/18 23:00,100050.875
2025/6/19 0:00,100063.1406
2025/6/19 1:00,100069.5391
2025/6/19 2:00,100070.0469
2025/6/19 3:00,100070.5859
2025/6/19 4:00,100071.1016
2025/6/19 5:00,100071.3203
2025/6/19 6:00,100071.5
2025/6/19 7:00,100071.6875
2025/6/19 8:00,100071.8828
2025/6/19 9:00,100072.0625
2025/6/19 10:00,100072.25
2025/6/19 11:00,100072.4531
2025/6/19 12:00,100072.6094
2025/6/19 13:00,100072.8047
2025/6/19 14:00,101378.7656
2025/6/19 15:00,101378.9453
2025/6/19 16:00,101379.1328
2025/6/19 17:00,101379.3281
2025/6/19 18:00,101379.5234
2025/6/19 19:00,101379.7031
2025/6/19 20:00,101379.8828
2025/6/19 21:00,101380.0781
2025/6/19 22:00,101380.2656
2025/6/19 23:00,101380.4609
2025/6/20 0:00,101393.2031
